date,product,region,opening_cash,collections,payments,operating_cash_flow,capex,investments,investing_cash_flow,loans,dividends,financing_cash_flow,net_cash_flow,closing_cash
2024-09-11,Product_5,North,8790882,178826,180592,-1766,-33099,-7282,-40381,34040,-9821,24219,-17928,8772954
2024-09-12,Product_5,West,8772954,185426,65842,119584,-6316,7433,1117,25968,-1124,24844,145545,8918499
2024-09-13,Product_7,West,8918499,236671,126914,109757,-6519,2161,-4358,-14645,-4968,-19613,85786,9004285
2024-09-13,Product_7,North,9004285,82257,87364,-5107,-29972,-6589,-36561,6654,-4424,2230,-39438,8964847
2024-09-14,Product_6,West,8964847,114773,136396,-21623,-47838,-10612,-58450,37505,-3976,33529,-46544,8918303
2024-09-14,Product_8,West,8918303,202118,107377,94741,-28554,9723,-18831,35621,-9131,26490,102400,9020703
2024-09-15,Product_8,South,9020703,134336,134083,253,-49283,-19766,-69049,6672,-4213,2459,-66337,8954366
2024-09-16,Product_10,North,8954366,142507,117134,25373,-7100,-8151,-15251,41997,-3748,38249,48371,9002737
2024-09-16,Product_6,West,9002737,116609,199088,-82479,-44779,-15507,-60286,11881,-674,11207,-131558,8871179
2024-09-17,Product_3,East,8871179,247093,114131,132962,-29087,-7172,-36259,41610,-8931,32679,129382,9000561
2024-09-18,Product_10,South,9000561,231379,162518,68861,-24611,-8977,-33588,-8050,-2745,-10795,24478,9025039
2024-09-18,Product_6,North,9025039,208681,131354,77327,-35116,-4507,-39623,447,-1524,-1077,36627,9061666
2024-09-19,Product_1,East,9061666,149561,111955,37606,-25093,-13845,-38938,26607,-719,25888,24556,9086222
2024-09-20,Product_5,West,9086222,132870,124110,8760,-25936,-1409,-27345,-15574,-6919,-22493,-41078,9045144
2024-09-20,Product_1,East,9045144,108151,71308,36843,-49245,9754,-39491,25671,-8386,17285,14637,9059781
2024-09-20,Product_9,North,9059781,172769,147265,25504,-36131,-340,-36471,13870,-5243,8627,-2340,9057441
2024-09-21,Product_10,West,9057441,192217,158934,33283,-16908,6423,-10485,41215,-6683,34532,57330,9114771
2024-09-21,Product_6,North,9114771,188048,198731,-10683,-48369,-8296,-56665,12793,-7468,5325,-62023,9052748
2024-09-21,Product_3,East,9052748,186956,178452,8504,-18379,1486,-16893,-12994,-3483,-16477,-24866,9027882
2024-09-22,Product_1,North,9027882,112430,83091,29339,-37983,3989,-33994,-1010,-8350,-9360,-14015,9013867
2024-09-22,Product_9,South,9013867,116081,168272,-52191,-21241,6628,-14613,-14061,-2295,-16356,-83160,8930707
2024-09-22,Product_6,North,8930707,238117,107118,130999,-24167,-16356,-40523,1625,-6420,-4795,85681,9016388
2024-09-23,Product_5,South,9016388,124605,144565,-19960,-27973,-13647,-41620,45101,-1932,43169,-18411,8997977
2024-09-23,Product_3,South,8997977,118405,103527,14878,-16691,-19508,-36199,-11189,-7888,-19077,-40398,8957579
2024-09-24,Product_2,East,8957579,134110,88328,45782,-17867,6466,-11401,5851,-2743,3108,37489,8995068
2024-09-24,Product_10,South,8995068,169080,65451,103629,-26642,-11452,-38094,43064,-7186,35878,101413,9096481
2024-09-24,Product_7,East,9096481,203749,183765,19984,-35873,5859,-30014,46155,-882,45273,35243,9131724
2024-09-24,Product_2,North,9131724,94122,128431,-34309,-10366,-11289,-21655,-1207,-8199,-9406,-65370,9066354
2024-09-25,Product_4,East,9066354,232614,161971,70643,-33247,7377,-25870,35388,-8277,27111,71884,9138238
2024-09-25,Product_9,North,9138238,102601,199227,-96626,-8583,-4485,-13068,16777,-3326,13451,-96243,9041995
2024-09-26,Product_5,West,9041995,229673,123227,106446,-9967,-1247,-11214,22,-9135,-9113,86119,9128114
2024-09-26,Product_6,North,9128114,161050,143596,17454,-6196,-7703,-13899,48323,-7432,40891,44446,9172560
2024-09-26,Product_6,West,9172560,230774,115841,114933,-7176,127,-7049,33574,-3824,29750,137634,9310194
2024-09-27,Product_4,West,9310194,188125,190722,-2597,-45546,-16304,-61850,58,-3929,-3871,-68318,9241876
2024-09-27,Product_1,South,9241876,125740,166611,-40871,-9956,-9805,-19761,46641,-3008,43633,-16999,9224877
2024-09-27,Product_2,North,9224877,95417,172492,-77075,-35099,83,-35016,9961,-3786,6175,-105916,9118961
2024-09-28,Product_9,North,9118961,114681,151328,-36647,-26904,-9407,-36311,44503,-1772,42731,-30227,9088734
2024-09-29,Product_4,North,9088734,207626,193943,13683,-27626,7211,-20415,46668,-699,45969,39237,9127971
2024-09-30,Product_7,East,9127971,184601,67812,116789,-9557,-17821,-27378,23798,-9065,14733,104144,9232115
2024-09-30,Product_4,East,9232115,127857,185555,-57698,-40948,700,-40248,19464,-9583,9881,-88065,9144050
2024-09-30,Product_3,West,9144050,224941,123353,101588,-21654,-7742,-29396,26976,-9582,17394,89586,9233636
2024-10-01,Product_8,East,9233636,241980,75523,166457,-24991,-9225,-34216,41250,-289,40961,173202,9406838
2024-10-01,Product_9,North,9406838,217686,67415,150271,-28155,-3338,-31493,23884,-580,23304,142082,9548920
2024-10-01,Product_5,South,9548920,248616,109976,138640,-37252,-16168,-53420,14148,-9865,4283,89503,9638423
2024-10-01,Product_8,East,9638423,192230,145076,47154,-16580,691,-15889,18402,-8575,9827,41092,9679515
2024-10-02,Product_6,East,9679515,155715,171435,-15720,-24493,466,-24027,25475,-3240,22235,-17512,9662003
2024-10-02,Product_5,North,9662003,173526,111001,62525,-40517,-6844,-47361,3064,-9327,-6263,8901,9670904
2024-10-02,Product_3,South,9670904,210429,161754,48675,-12214,195,-12019,7127,-5141,1986,38642,9709546
2024-10-03,Product_6,North,9709546,98375,75088,23287,-49602,-7722,-57324,-9986,-3273,-13259,-47296,9662250
2024-10-04,Product_2,East,9662250,158077,199784,-41707,-14168,106,-14062,49087,-2832,46255,-9514,9652736
2024-10-04,Product_4,West,9652736,158958,92920,66038,-16156,-8892,-25048,11845,-2800,9045,50035,9702771
2024-10-04,Product_1,East,9702771,213682,137603,76079,-38872,-9272,-48144,583,-3854,-3271,24664,9727435
2024-10-04,Product_7,East,9727435,230528,151118,79410,-5406,-6311,-11717,12934,-508,12426,80119,9807554
2024-10-05,Product_9,North,9807554,230945,73050,157895,-5680,-1092,-6772,1644,-4357,-2713,148410,9955964
2024-10-05,Product_4,West,9955964,246132,192610,53522,-41176,4126,-37050,21520,-9291,12229,28701,9984665
2024-10-06,Product_7,West,9984665,223184,165410,57774,-14689,-7954,-22643,30719,-1151,29568,64699,10049364
2024-10-06,Product_4,South,10049364,121328,84618,36710,-39675,-16510,-56185,-1081,-4173,-5254,-24729,10024635
2024-10-06,Product_10,North,10024635,150305,148791,1514,-32962,-644,-33606,36184,-992,35192,3100,10027735
2024-10-06,Product_1,West,10027735,221650,191060,30590,-23624,-2140,-25764,19194,-389,18805,23631,10051366
2024-10-07,Product_3,East,10051366,115531,64986,50545,-37298,-18519,-55817,36408,-3731,32677,27405,10078771
2024-10-07,Product_4,West,10078771,107798,151649,-43851,-24477,-2734,-27211,23526,-3277,20249,-50813,10027958
2024-10-07,Product_8,East,10027958,207426,84335,123091,-16254,1074,-15180,-8558,-4595,-13153,94758,10122716
2024-10-07,Product_8,West,10122716,186464,191184,-4720,-26515,-419,-26934,39722,-139,39583,7929,10130645
2024-10-08,Product_6,North,10130645,221880,60887,160993,-36802,-512,-37314,6049,-2606,3443,127122,10257767
2024-10-09,Product_4,North,10257767,126220,106163,20057,-8765,-1178,-9943,25270,-9741,15529,25643,10283410
2024-10-09,Product_7,East,10283410,184245,182332,1913,-42623,2931,-39692,35633,-2761,32872,-4907,10278503
2024-10-09,Product_9,North,10278503,105991,164092,-58101,-37969,2544,-35425,-9439,-517,-9956,-103482,10175021
2024-10-10,Product_5,West,10175021,236989,122120,114869,-6988,-4559,-11547,-5744,-3802,-9546,93776,10268797
2024-10-10,Product_1,West,10268797,108230,119778,-11548,-27625,-5886,-33511,21167,-5633,15534,-29525,10239272
2024-10-11,Product_8,South,10239272,168229,195189,-26960,-29729,7942,-21787,47054,-6163,40891,-7856,10231416
2024-10-11,Product_9,South,10231416,141842,86990,54852,-21193,-767,-21960,14510,-1306,13204,46096,10277512
2024-10-11,Product_10,North,10277512,191072,154767,36305,-41963,1562,-40401,31707,-2305,29402,25306,10302818
2024-10-11,Product_4,North,10302818,82642,102137,-19495,-19296,2793,-16503,42260,-4757,37503,1505,10304323
2024-10-12,Product_5,East,10304323,179575,61813,117762,-32491,5185,-27306,35276,-8475,26801,117257,10421580
2024-10-12,Product_1,North,10421580,145618,61920,83698,-45585,-8317,-53902,-17907,-7071,-24978,4818,10426398
2024-10-12,Product_6,West,10426398,150821,169200,-18379,-42705,-3247,-45952,-126,-1779,-1905,-66236,10360162
2024-10-13,Product_5,East,10360162,149212,193498,-44286,-29473,-17038,-46511,9943,-859,9084,-81713,10278449
2024-10-13,Product_1,East,10278449,171176,135945,35231,-9017,-9549,-18566,42956,-8560,34396,51061,10329510
2024-10-13,Product_5,East,10329510,212206,122943,89263,-35131,1550,-33581,40128,-6136,33992,89674,10419184
2024-10-14,Product_5,East,10419184,85039,172935,-87896,-15442,-11748,-27190,7586,-3901,3685,-111401,10307783
2024-10-14,Product_10,North,10307783,166346,127087,39259,-17625,-18371,-35996,38671,-1526,37145,40408,10348191
2024-10-15,Product_2,South,10348191,216355,198682,17673,-48326,-5076,-53402,-19131,-1014,-20145,-55874,10292317
2024-10-15,Product_8,East,10292317,190317,142409,47908,-28248,3624,-24624,23516,-7786,15730,39014,10331331
2024-10-16,Product_7,North,10331331,165947,151829,14118,-32172,1128,-31044,-1743,-3258,-5001,-21927,10309404
2024-10-17,Product_2,North,10309404,100025,195530,-95505,-10307,-11067,-21374,29831,-5738,24093,-92786,10216618
2024-10-18,Product_2,South,10216618,161982,166133,-4151,-15751,-6550,-22301,-12648,-6915,-19563,-46015,10170603
2024-10-19,Product_7,North,10170603,109493,91707,17786,-8278,-12704,-20982,5398,-3074,2324,-872,10169731
2024-10-19,Product_6,South,10169731,186616,127173,59443,-36781,-6348,-43129,-14897,-9116,-24013,-7699,10162032
2024-10-20,Product_1,South,10162032,193499,109393,84106,-36174,-17332,-53506,27406,-802,26604,57204,10219236
2024-10-21,Product_5,North,10219236,82187,137243,-55056,-40098,6935,-33163,1225,-3606,-2381,-90600,10128636
2024-10-21,Product_9,North,10128636,243900,186270,57630,-31489,-5613,-37102,49463,-6296,43167,63695,10192331
2024-10-21,Product_7,South,10192331,213663,151683,61980,-43889,-18800,-62689,41753,-2854,38899,38190,10230521
2024-10-21,Product_1,North,10230521,204116,191208,12908,-22413,-4654,-27067,39500,-2594,36906,22747,10253268
2024-10-22,Product_6,North,10253268,243926,136240,107686,-43987,4527,-39460,-3678,-6968,-10646,57580,10310848
2024-10-22,Product_6,North,10310848,191900,153422,38478,-6700,8246,1546,3199,-1647,1552,41576,10352424
2024-10-22,Product_7,North,10352424,85520,169814,-84294,-41455,-3020,-44475,21605,-4757,16848,-111921,10240503
2024-10-23,Product_1,South,10240503,187216,130269,56947,-35954,-12919,-48873,21458,-7117,14341,22415,10262918
2024-10-23,Product_10,South,10262918,123939,89345,34594,-49571,3562,-46009,49166,-146,49020,37605,10300523
2024-10-24,Product_8,West,10300523,88328,75534,12794,-24744,-611,-25355,16320,-18,16302,3741,10304264
2024-10-24,Product_3,South,10304264,88640,196690,-108050,-42004,3285,-38719,-18080,-4188,-22268,-169037,10135227
2024-10-25,Product_1,North,10135227,150463,153500,-3037,-16164,-15610,-31774,41510,-5388,36122,1311,10136538
2024-10-25,Product_5,South,10136538,95810,196198,-100388,-35009,-19184,-54193,-19808,-1776,-21584,-176165,9960373
2024-10-25,Product_1,East,9960373,145048,183130,-38082,-37130,-12626,-49756,16468,-9359,7109,-80729,9879644
2024-10-25,Product_9,South,9879644,122056,111831,10225,-38272,-10187,-48459,-5329,-9579,-14908,-53142,9826502
2024-10-26,Product_6,North,9826502,175430,60717,114713,-16676,-15566,-32242,29810,-5057,24753,107224,9933726
2024-10-26,Product_9,North,9933726,210830,64994,145836,-9234,-16236,-25470,23949,-4637,19312,139678,10073404
2024-10-26,Product_9,West,10073404,103185,101153,2032,-16999,-16281,-33280,-17419,-2565,-19984,-51232,10022172
2024-10-27,Product_9,West,10022172,198094,71064,127030,-16312,-15220,-31532,16945,-6476,10469,105967,10128139
2024-10-27,Product_6,East,10128139,244474,139698,104776,-13397,2335,-11062,25095,-5626,19469,113183,10241322
2024-10-27,Product_4,East,10241322,210526,169162,41364,-13026,-16694,-29720,13665,-9277,4388,16032,10257354
2024-10-27,Product_1,North,10257354,94683,191742,-97059,-28675,-2111,-30786,35612,-5167,30445,-97400,10159954
2024-10-28,Product_4,West,10159954,227705,128975,98730,-37172,6429,-30743,38847,-3792,35055,103042,10262996
2024-10-29,Product_5,East,10262996,99996,160922,-60926,-26062,-16837,-42899,15710,-8411,7299,-96526,10166470
2024-10-29,Product_6,North,10166470,188944,77374,111570,-16138,-1804,-17942,25913,-8995,16918,110546,10277016
2024-10-29,Product_10,North,10277016,167796,86069,81727,-24275,6281,-17994,19178,-53,19125,82858,10359874
2024-10-30,Product_8,West,10359874,118712,93722,24990,-15625,-18371,-33996,-13141,-8841,-21982,-30988,10328886
2024-10-30,Product_1,South,10328886,129522,195958,-66436,-12485,-6320,-18805,-3233,-4334,-7567,-92808,10236078
2024-10-30,Product_3,South,10236078,92226,153405,-61179,-27588,-6560,-34148,11709,-6111,5598,-89729,10146349
2024-10-30,Product_5,South,10146349,145133,174444,-29311,-5922,-701,-6623,7526,-7957,-431,-36365,10109984
2024-10-31,Product_7,North,10109984,123395,185814,-62419,-42701,-5705,-48406,5939,-3940,1999,-108826,10001158
2024-10-31,Product_4,West,10001158,227616,89063,138553,-30344,-16252,-46596,46629,-4500,42129,134086,10135244
2024-11-01,Product_3,East,10135244,188036,176525,11511,-38457,143,-38314,-17897,-365,-18262,-45065,10090179
2024-11-01,Product_8,West,10090179,178046,150012,28034,-17742,-7609,-25351,8901,-6033,2868,5551,10095730
2024-11-01,Product_2,West,10095730,211040,95503,115537,-35746,7923,-27823,21258,-956,20302,108016,10203746
2024-11-01,Product_10,East,10203746,117228,83386,33842,-33302,8047,-25255,43344,-2850,40494,49081,10252827
2024-11-02,Product_5,East,10252827,105525,139818,-34293,-19334,9179,-10155,42767,-6644,36123,-8325,10244502
2024-11-02,Product_3,South,10244502,244005,103469,140536,-38687,-11695,-50382,32656,-991,31665,121819,10366321
2024-11-02,Product_4,West,10366321,145206,156462,-11256,-41607,-2358,-43965,3993,-8706,-4713,-59934,10306387
2024-11-02,Product_5,North,10306387,176393,187314,-10921,-15776,-19933,-35709,-11790,-3521,-15311,-61941,10244446
2024-11-03,Product_9,West,10244446,193711,71094,122617,-27423,-19350,-46773,-14259,-6838,-21097,54747,10299193
2024-11-03,Product_5,East,10299193,196026,170130,25896,-27164,-17173,-44337,10257,-5232,5025,-13416,10285777
2024-11-04,Product_4,South,10285777,159768,74026,85742,-33554,-655,-34209,-390,-6837,-7227,44306,10330083
2024-11-04,Product_2,West,10330083,116182,176136,-59954,-5570,-712,-6282,9877,-2505,7372,-58864,10271219
2024-11-05,Product_3,North,10271219,144575,132518,12057,-44104,-1938,-46042,-3001,-9941,-12942,-46927,10224292
2024-11-05,Product_2,East,10224292,209744,170684,39060,-26133,-111,-26244,24435,-4529,19906,32722,10257014
2024-11-06,Product_1,East,10257014,194894,146795,48099,-39087,-18859,-57946,-15373,-7389,-22762,-32609,10224405
2024-11-06,Product_6,East,10224405,214327,196285,18042,-41876,-596,-42472,5380,-9136,-3756,-28186,10196219
2024-11-06,Product_6,South,10196219,103989,168106,-64117,-29519,7499,-22020,2439,-3882,-1443,-87580,10108639
2024-11-06,Product_6,West,10108639,103559,149049,-45490,-10021,1119,-8902,31539,-6582,24957,-29435,10079204
2024-11-07,Product_7,West,10079204,169132,119546,49586,-45150,2615,-42535,-16673,-5630,-22303,-15252,10063952
2024-11-07,Product_9,East,10063952,195945,106830,89115,-44542,-4840,-49382,36583,-1230,35353,75086,10139038
2024-11-07,Product_5,South,10139038,111085,115571,-4486,-19715,-14250,-33965,15903,-6953,8950,-29501,10109537
2024-11-07,Product_3,South,10109537,245386,143014,102372,-40179,-999,-41178,5338,-4145,1193,62387,10171924
2024-11-08,Product_8,South,10171924,125619,117124,8495,-31616,-5881,-37497,34567,-4331,30236,1234,10173158
2024-11-08,Product_8,East,10173158,141799,150221,-8422,-30479,-6596,-37075,35863,-9275,26588,-18909,10154249
2024-11-09,Product_7,West,10154249,226480,76351,150129,-9131,-1468,-10599,24825,-5457,19368,158898,10313147
2024-11-09,Product_6,East,10313147,229335,137694,91641,-20735,-4170,-24905,27893,-7542,20351,87087,10400234
2024-11-10,Product_5,West,10400234,125541,126983,-1442,-24583,2765,-21818,39287,-7522,31765,8505,10408739
2024-11-10,Product_7,North,10408739,230592,85566,145026,-12657,-15080,-27737,10134,-6324,3810,121099,10529838
2024-11-10,Product_8,South,10529838,210956,130744,80212,-38455,-3087,-41542,8018,-5067,2951,41621,10571459
2024-11-11,Product_1,East,10571459,196841,118870,77971,-26158,-12308,-38466,23856,-3103,20753,60258,10631717
2024-11-11,Product_9,West,10631717,111379,124729,-13350,-33378,-12876,-46254,34353,-844,33509,-26095,10605622
2024-11-11,Product_9,East,10605622,116683,174091,-57408,-22618,-13413,-36031,42790,-226,42564,-50875,10554747
2024-11-11,Product_2,West,10554747,124739,92954,31785,-48837,-17465,-66302,14700,-9040,5660,-28857,10525890
2024-11-12,Product_5,South,10525890,248914,187992,60922,-19523,-18119,-37642,13037,-1630,11407,34687,10560577
2024-11-13,Product_4,West,10560577,126151,169388,-43237,-6695,-358,-7053,-16738,-1445,-18183,-68473,10492104
2024-11-13,Product_8,West,10492104,161972,135485,26487,-28963,-1950,-30913,9932,-6901,3031,-1395,10490709
2024-11-14,Product_6,West,10490709,143909,132391,11518,-23678,-11737,-35415,43293,-9421,33872,9975,10500684
2024-11-14,Product_3,South,10500684,166402,74079,92323,-12243,9872,-2371,-10982,-5918,-16900,73052,10573736
2024-11-15,Product_5,South,10573736,230872,188126,42746,-31910,9437,-22473,26675,-3558,23117,43390,10617126
2024-11-16,Product_6,West,10617126,95916,70878,25038,-7985,-11888,-19873,21235,-2547,18688,23853,10640979
2024-11-16,Product_1,South,10640979,125536,129504,-3968,-38678,-1620,-40298,-3721,-3129,-6850,-51116,10589863
2024-11-16,Product_8,South,10589863,151386,146124,5262,-45214,-8051,-53265,46670,-4876,41794,-6209,10583654
2024-11-17,Product_5,North,10583654,151128,112495,38633,-22270,7649,-14621,36830,-9104,27726,51738,10635392
2024-11-17,Product_7,North,10635392,129649,155402,-25753,-35676,-5004,-40680,30799,-6992,23807,-42626,10592766
2024-11-17,Product_8,East,10592766,152307,155432,-3125,-36923,-855,-37778,27574,-7069,20505,-20398,10572368
2024-11-18,Product_9,West,10572368,246536,94485,152051,-24456,-10741,-35197,15554,-3791,11763,128617,10700985
2024-11-19,Product_1,North,10700985,169037,78074,90963,-20549,9963,-10586,32265,-9074,23191,103568,10804553
2024-11-20,Product_7,East,10804553,193502,82800,110702,-48423,7129,-41294,49460,-8615,40845,110253,10914806
2024-11-20,Product_7,West,10914806,93233,125727,-32494,-30074,-15083,-45157,5832,-4322,1510,-76141,10838665
2024-11-20,Product_3,East,10838665,234455,118160,116295,-32796,3666,-29130,38817,-9278,29539,116704,10955369
2024-11-21,Product_3,East,10955369,90234,117616,-27382,-14221,-8590,-22811,41413,-1051,40362,-9831,10945538
2024-11-21,Product_2,South,10945538,156918,138116,18802,-37323,-8011,-45334,31257,-307,30950,4418,10949956
2024-11-21,Product_10,West,10949956,115944,159555,-43611,-43134,7323,-35811,5954,-5869,85,-79337,10870619
2024-11-21,Product_8,West,10870619,84992,61961,23031,-17497,-753,-18250,12551,-6603,5948,10729,10881348
2024-11-22,Product_8,West,10881348,100389,183802,-83413,-48919,-3433,-52352,-16642,-6615,-23257,-159022,10722326
2024-11-22,Product_7,South,10722326,185982,65698,120284,-6273,7543,1270,35805,-1096,34709,156263,10878589
2024-11-22,Product_10,West,10878589,178239,190407,-12168,-49041,-11998,-61039,49783,-9220,40563,-32644,10845945
2024-11-22,Product_3,South,10845945,99738,70703,29035,-22570,9131,-13439,-7608,-6305,-13913,1683,10847628
2024-11-23,Product_2,West,10847628,157963,181987,-24024,-25566,6287,-19279,47766,-6511,41255,-2048,10845580
2024-11-23,Product_1,South,10845580,237249,64765,172484,-25354,3929,-21425,8820,-5552,3268,154327,10999907
2024-11-23,Product_4,South,10999907,93780,66589,27191,-39812,8128,-31684,25939,-2341,23598,19105,11019012
2024-11-24,Product_10,South,11019012,99309,114195,-14886,-30901,3576,-27325,11508,-9175,2333,-39878,10979134
2024-11-25,Product_10,North,10979134,204997,95440,109557,-34546,-12721,-47267,36683,-9518,27165,89455,11068589
2024-11-26,Product_4,East,11068589,236177,138484,97693,-18026,-17227,-35253,25927,-9878,16049,78489,11147078
2024-11-26,Product_3,West,11147078,221449,113592,107857,-12347,-18992,-31339,-16217,-6646,-22863,53655,11200733
2024-11-26,Product_5,South,11200733,140652,189572,-48920,-25922,-18740,-44662,316,-584,-268,-93850,11106883
2024-11-27,Product_2,North,11106883,225083,62866,162217,-10898,-1605,-12503,19019,-4939,14080,163794,11270677
2024-11-27,Product_7,South,11270677,90956,197150,-106194,-34631,3420,-31211,42901,-8923,33978,-103427,11167250
2024-11-27,Product_10,South,11167250,197192,91417,105775,-27484,-1897,-29381,45006,-6686,38320,114714,11281964
2024-11-28,Product_9,West,11281964,195584,146567,49017,-31212,-9650,-40862,-1184,-3904,-5088,3067,11285031
2024-11-28,Product_9,East,11285031,152373,80884,71489,-10454,-10576,-21030,23618,-2028,21590,72049,11357080
2024-11-28,Product_8,South,11357080,200592,119993,80599,-13848,-3451,-17299,46125,-4524,41601,104901,11461981
2024-11-28,Product_6,East,11461981,122222,109223,12999,-49476,-7058,-56534,45333,-3580,41753,-1782,11460199
2024-11-29,Product_1,East,11460199,89460,159319,-69859,-14275,8677,-5598,-6731,-7984,-14715,-90172,11370027
2024-11-29,Product_7,North,11370027,102553,104036,-1483,-22369,-8205,-30574,48154,-6289,41865,9808,11379835
2024-11-29,Product_4,North,11379835,85368,195693,-110325,-19719,9227,-10492,-12434,-4670,-17104,-137921,11241914
2024-11-30,Product_3,North,11241914,229395,78019,151376,-14890,-11905,-26795,-9717,-1895,-11612,112969,11354883
2024-11-30,Product_8,North,11354883,102908,186278,-83370,-42952,-17598,-60550,17663,-7331,10332,-133588,11221295
2024-11-30,Product_6,South,11221295,89343,136173,-46830,-39724,-12977,-52701,9134,-3907,5227,-94304,11126991
2024-12-01,Product_4,North,11126991,194527,196385,-1858,-18598,-6942,-25540,8807,-4887,3920,-23478,11103513
2024-12-01,Product_9,East,11103513,130113,112999,17114,-41343,5451,-35892,15186,-4198,10988,-7790,11095723
2024-12-01,Product_10,North,11095723,133218,79229,53989,-14673,7877,-6796,38001,-5316,32685,79878,11175601
2024-12-01,Product_5,North,11175601,227878,97034,130844,-45317,2700,-42617,-906,-8644,-9550,78677,11254278
2024-12-02,Product_6,West,11254278,81657,158300,-76643,-44531,-541,-45072,-16836,-2053,-18889,-140604,11113674
2024-12-02,Product_10,South,11113674,130599,195624,-65025,-14417,5811,-8606,48207,-6519,41688,-31943,11081731
2024-12-03,Product_3,South,11081731,214794,130442,84352,-35096,-12737,-47833,1438,-9667,-8229,28290,11110021
2024-12-03,Product_1,North,11110021,121938,119807,2131,-37247,-9307,-46554,20469,-1216,19253,-25170,11084851
2024-12-03,Product_4,South,11084851,225263,144726,80537,-32386,2018,-30368,-6296,-7483,-13779,36390,11121241
2024-12-04,Product_7,South,11121241,142993,172752,-29759,-19586,5416,-14170,-18186,-1106,-19292,-63221,11058020
2024-12-04,Product_5,East,11058020,115699,106335,9364,-17317,-17029,-34346,14785,-7415,7370,-17612,11040408
2024-12-04,Product_9,South,11040408,146253,151128,-4875,-33141,9277,-23864,-13218,-1048,-14266,-43005,10997403
2024-12-04,Product_3,West,10997403,188297,98346,89951,-11548,-12619,-24167,7526,-3792,3734,69518,11066921
2024-12-05,Product_2,West,11066921,125865,164501,-38636,-43218,5359,-37859,4816,-5874,-1058,-77553,10989368
2024-12-05,Product_2,East,10989368,195700,133914,61786,-6881,-13201,-20082,27365,-4586,22779,64483,11053851
2024-12-05,Product_10,West,11053851,243515,196949,46566,-44553,-4167,-48720,-15078,-8090,-23168,-25322,11028529
2024-12-05,Product_8,East,11028529,111422,176590,-65168,-17205,1054,-16151,3527,-2059,1468,-79851,10948678
2024-12-06,Product_1,East,10948678,141692,80855,60837,-23211,7604,-15607,5095,-5956,-861,44369,10993047
2024-12-07,Product_4,West,10993047,174837,154283,20554,-20972,5501,-15471,2927,-5901,-2974,2109,10995156
2024-12-07,Product_10,East,10995156,184428,182035,2393,-39172,7940,-31232,49518,-5555,43963,15124,11010280
2024-12-08,Product_10,North,11010280,133311,82692,50619,-28862,4860,-24002,-15074,-9379,-24453,2164,11012444
2024-12-08,Product_2,South,11012444,149855,101743,48112,-44876,-10859,-55735,323,-44,279,-7344,11005100
2024-12-08,Product_3,East,11005100,144140,167325,-23185,-23293,-13636,-36929,15349,-691,14658,-45456,10959644
2024-12-09,Product_4,North,10959644,137062,148302,-11240,-41174,-11661,-52835,21347,-3121,18226,-45849,10913795
2024-12-09,Product_2,North,10913795,105491,119222,-13731,-28165,-4054,-32219,-16252,-277,-16529,-62479,10851316
2024-12-09,Product_10,West,10851316,140380,104331,36049,-35497,2313,-33184,19560,-4713,14847,17712,10869028
2024-12-09,Product_7,West,10869028,157986,70068,87918,-40230,-6350,-46580,6206,-287,5919,47257,10916285
2024-12-10,Product_4,South,10916285,180667,150071,30596,-37528,-14017,-51545,-5242,-244,-5486,-26435,10889850
2024-12-10,Product_8,North,10889850,183306,172025,11281,-49910,4881,-45029,38251,-2654,35597,1849,10891699
2024-12-11,Product_1,East,10891699,163291,67135,96156,-5320,-15346,-20666,1684,-6761,-5077,70413,10962112
2024-12-12,Product_2,South,10962112,178071,169863,8208,-46777,-6518,-53295,20130,-11,20119,-24968,10937144
2024-12-12,Product_3,South,10937144,95216,144149,-48933,-8009,4368,-3641,9327,-2077,7250,-45324,10891820
2024-12-12,Product_4,South,10891820,182171,174456,7715,-9873,-11365,-21238,13065,-5856,7209,-6314,10885506
2024-12-13,Product_8,North,10885506,138741,167049,-28308,-34092,-2347,-36439,20469,-8376,12093,-52654,10832852
2024-12-14,Product_2,East,10832852,241050,147592,93458,-34007,-9599,-43606,28287,-5593,22694,72546,10905398
2024-12-14,Product_9,South,10905398,85543,81067,4476,-30097,-9921,-40018,49345,-5807,43538,7996,10913394
2024-12-14,Product_4,East,10913394,198843,88992,109851,-20995,-3965,-24960,43477,-1409,42068,126959,11040353
2024-12-14,Product_9,South,11040353,87452,101486,-14034,-19859,7236,-12623,11899,-2172,9727,-16930,11023423
2024-12-15,Product_8,North,11023423,99053,149745,-50692,-8981,1153,-7828,-14753,-4427,-19180,-77700,10945723
2024-12-15,Product_6,West,10945723,216645,139267,77378,-12189,-5459,-17648,23646,-4535,19111,78841,11024564
2024-12-15,Product_9,West,11024564,210976,87564,123412,-33835,8819,-25016,-12303,-8386,-20689,77707,11102271
2024-12-16,Product_5,West,11102271,156436,180562,-24126,-10581,8390,-2191,14782,-3789,10993,-15324,11086947
2024-12-16,Product_6,West,11086947,152684,139558,13126,-25013,-14081,-39094,5256,-6638,-1382,-27350,11059597
2024-12-16,Product_2,North,11059597,247706,83382,164324,-27394,-17747,-45141,-19136,-1268,-20404,98779,11158376
2024-12-17,Product_3,North,11158376,232027,170674,61353,-42997,-3691,-46688,49590,-935,48655,63320,11221696
